ar_noaanum,mean_lat,n_days,span_days,slope_degday,omega_sid_degday,fit_rms_deg,on_screen
14427,-32.76716636363637,11,10.0,-1.1743,13.0101,0.595,False
14405,-27.74625372727273,11,10.0,-0.8855,13.2989,0.561,False
14428,-24.3874331,10,9.0,-0.5912,13.5932,0.7,False
14461,-21.0,4,4.0,0.2651,14.4495,0.25,False
14444,-19.305666499999997,10,9.0,-0.2277,13.9567,0.977,True
14415,-18.3272227,10,9.0,-0.0002,14.1842,0.212,False
14480,-17.333333333333332,6,5.0,-0.6077,13.5767,0.426,False
14433,-16.8688337,10,9.0,-0.1849,13.9995,0.166,False
14447,-16.833333333333332,6,6.0,-0.2176,13.9668,0.686,True
14399,-16.5348367,5,4.0,-0.0633,14.1211,0.065,False
14443,-16.0154341,10,9.0,-0.2316,13.9528,0.492,True
14442,-16.005163125000003,4,3.0,-0.1138,14.0706,0.27,False
14469,-16.0,3,2.0,-0.2367,13.9477,0.471,False
14431,-15.9745163,10,9.0,0.3489,14.5333,0.204,False
14454,-15.165925833333333,6,5.0,0.6265,14.8109,1.423,True
14472,-14.2,5,4.0,-0.1369,14.0475,0.374,False
14477,-13.833333333333334,6,6.0,1.0615,15.2459,0.776,False
14446,-13.704947049999998,10,9.0,0.7273,14.9117,2.554,True
14464,-12.375,8,8.0,0.3046,14.489,0.472,False
14418,-11.164772833333332,6,5.0,0.0833,14.2677,0.23,False
14485,-10.25,4,3.0,0.465,14.6494,0.274,False
14449,-9.714285714285714,7,7.0,0.0655,14.2499,0.406,True
14475,-9.285714285714286,7,7.0,0.9037,15.0881,1.109,False
14482,-9.0,3,2.0,0.2651,14.4495,0.236,False
14457,-8.8,5,4.0,0.3663,14.5507,0.49,False
14473,-8.4,5,4.0,1.4631,15.6475,0.883,False
14421,-7.835672222222223,9,8.0,0.1425,14.3269,0.431,False
14448,-7.0,4,3.0,0.4683,14.6527,0.274,True
14423,-7.0,6,5.0,2.7859,16.9703,3.4,False
14411,-6.84964875,10,9.0,0.2601,14.4445,3.638,False
14478,-5.428571428571429,7,7.0,-0.0148,14.1696,0.496,False
14458,-4.6,5,5.0,0.6034,14.7878,0.403,False
14429,-4.54461475,10,9.0,0.3645,14.5489,0.745,False
14409,4.344233999999999,10,9.0,0.4875,14.6719,0.637,False
14425,5.797096300000001,10,9.0,0.0483,14.2327,0.275,False
14466,6.0,3,2.0,2.264,16.4484,0.236,False
14445,7.0,6,5.0,-0.4598,13.7246,1.086,True
14470,7.25,8,8.0,-0.1198,14.0646,0.585,False
14476,8.0,5,5.0,0.5424,14.7268,0.269,False
14408,8.0,8,8.0,0.1055,14.2899,0.428,False
14441,8.002665812500002,8,7.0,0.7876,14.972,0.193,False
14465,8.125,8,8.0,-0.3765,13.8079,1.021,False
14422,8.666666666666666,3,2.0,-0.2098,13.9746,0.472,False
14460,9.523874333333332,9,11.0,-1.7501,12.4343,0.736,False
14412,9.827714416666666,6,5.0,0.0827,14.2671,0.246,False
14426,10.1353545,8,7.0,-0.0518,14.1326,0.392,False
14452,12.49807425,10,9.0,-11.8011,2.3833,75.545,True
14432,12.9577188,10,9.0,0.3889,14.5733,0.252,False
14439,12.973901624999998,12,11.0,-1.4488,12.7356,1.302,False
14434,13.316294277777779,9,8.0,0.0734,14.2578,0.242,False
14406,13.3545116,10,9.0,-0.1023,14.0821,0.843,False
14419,13.692123,10,9.0,-0.2015,13.9829,0.362,False
14459,14.0,8,8.0,-2.1395,12.0449,7.427,False
14481,14.0,5,4.0,-0.0351,14.1493,0.283,False
14404,14.0,8,8.0,0.1449,14.3293,0.564,False
14455,14.4770445,8,7.0,0.6889,14.8733,1.529,True
14403,14.973100500000001,8,7.0,-0.421,13.7634,0.699,False
14479,15.875,8,8.0,0.4978,14.6822,0.608,False
14462,15.875,8,8.0,0.4314,14.6158,0.645,False
14456,16.333333333333332,3,8.0,-0.2869,13.8975,0.432,False
14463,16.75,8,8.0,-0.0963,14.0881,0.774,False
14424,16.995181499999997,10,9.0,-0.0311,14.1533,0.851,False
14440,17.0,3,2.0,0.7724,14.9568,0.472,False
14407,17.25,4,3.0,-0.0909,14.0935,0.821,False
14414,17.357570950000003,10,9.0,0.1002,14.2846,0.622,False
14420,17.7603265,11,10.0,-1.0218,13.1626,3.013,False
14436,18.284221600000002,10,9.0,-0.2581,13.9263,0.509,False
14416,18.737721136363636,11,10.0,-0.8073,13.3771,3.494,False
14402,18.8,5,4.0,-0.2913,13.8931,1.349,False
14438,20.204072699999998,5,4.0,-0.1411,14.0433,0.208,False
14401,22.000867300000003,5,4.0,-0.2992,13.8852,0.127,False
14435,22.766015149999998,10,9.0,-0.4551,13.7293,0.29,False
